x,y,bc1,bc2,bc3
0.0,0.0,0.9999,0.0001,0.0001
1.0,0.0,0.0001,0.9999,0.0001
0.5,0.8660254037844386,0.0001,0.0001,0.9999
0.5,0.0,0.5,0.5,0.0001
0.75,0.4330127018922193,0.0001,0.5,0.5
0.25,0.4330127018922193,0.5,0.0001,0.5
0.25,0.0,0.7500000000000001,0.25,0.0001
0.875,0.21650635094610965,0.0001,0.7500000000000001,0.25
0.375,0.649519052838329,0.24999999999999997,0.0001,0.7500000000000001
0.625,0.21650635094610965,0.25000000000000006,0.5000000000000001,0.25
0.5,0.4330127018922193,0.25,0.25,0.5
0.125,0.21650635094610965,0.7500000000000001,0.0001,0.25
0.75,0.0,0.25,0.7500000000000001,0.0001
0.625,0.649519052838329,0.0001,0.24999999999999997,0.7500000000000001
0.375,0.21650635094610965,0.5000000000000001,0.25000000000000006,0.25
0.125,0.0,0.875,0.125,0.0001
0.1875,0.3247595264191645,0.625,0.0001,0.37500000000000006
0.3125,0.10825317547305482,0.625,0.25,0.125
0.9375,0.10825317547305482,0.0001,0.875,0.125
0.625,0.0,0.37500000000000006,0.625,0.0001
0.75,0.21650635094610965,0.12500000000000003,0.6250000000000001,0.25
0.4375,0.7577722283113838,0.12499999999999999,0.0001,0.875
0.6875,0.5412658773652741,0.0001,0.37500000000000006,0.625
0.4375,0.5412658773652741,0.25,0.12500000000000003,0.625
0.5625,0.10825317547305482,0.37499999999999994,0.5000000000000001,0.125
0.625,0.4330127018922193,0.12500000000000003,0.37499999999999994,0.5
0.3125,0.3247595264191645,0.5,0.12499999999999997,0.37500000000000006
0.5625,0.3247595264191645,0.25,0.37499999999999994,0.37500000000000006
0.25,0.21650635094610965,0.6250000000000001,0.12500000000000003,0.25
0.6875,0.10825317547305482,0.25,0.625,0.125
0.5625,0.5412658773652741,0.12500000000000003,0.25,0.625
0.4375,0.3247595264191645,0.37499999999999994,0.25,0.37500000000000006
0.0625,0.10825317547305482,0.875,0.0001,0.125
0.375,0.0,0.625,0.37500000000000006,0.0001
0.1875,0.10825317547305482,0.7500000000000001,0.12500000000000003,0.125
0.875,0.0,0.125,0.875,0.0001
0.8125,0.3247595264191645,0.0001,0.625,0.37500000000000006
0.8125,0.10825317547305482,0.12500000000000003,0.7500000000000001,0.125
0.5625,0.7577722283113838,0.0001,0.12499999999999999,0.875
0.3125,0.5412658773652741,0.37500000000000006,0.0001,0.625
0.5,0.649519052838329,0.12499999999999997,0.12499999999999997,0.7500000000000001
0.4375,0.10825317547305482,0.5000000000000001,0.37499999999999994,0.125
0.6875,0.3247595264191645,0.12499999999999997,0.5,0.37500000000000006
0.375,0.4330127018922193,0.37499999999999994,0.12500000000000003,0.5
0.5,0.21650635094610965,0.37500000000000006,0.37500000000000006,0.25
0.0625,0.0,0.9375,0.0625,0.0001
0.09375,0.16237976320958225,0.8125,0.0001,0.18750000000000003
0.15625,0.05412658773652741,0.8125,0.12499999999999999,0.0625
0.3125,0.0,0.6875,0.3125,0.0001
0.375,0.10825317547305482,0.5625,0.31250000000000006,0.125
0.21875,0.3788861141556919,0.5625,0.0001,0.43749999999999994
0.21875,0.27063293868263705,0.625,0.0625,0.3125
0.28125,0.05412658773652741,0.6874999999999999,0.25,0.0625
0.3125,0.21650635094610965,0.5625,0.18750000000000003,0.25
0.15625,0.16237976320958225,0.7499999999999999,0.062499999999999986,0.18750000000000003
0.28125,0.16237976320958225,0.625,0.18749999999999997,0.18750000000000003
0.96875,0.05412658773652741,0.0001,0.9375,0.0625
0.8125,0.0,0.18750000000000003,0.8125,0.0001
0.875,0.10825317547305482,0.0625,0.8125,0.125
0.84375,0.27063293868263705,0.0001,0.6875,0.3125
0.71875,0.27063293868263705,0.12500000000000003,0.5625,0.3125
0.5625,0.0,0.4375,0.5625,0.0001
0.65625,0.05412658773652741,0.3125,0.625,0.0625
0.8125,0.21650635094610965,0.06250000000000001,0.6875,0.25
0.65625,0.16237976320958225,0.25,0.5625,0.18750000000000003
0.78125,0.05412658773652741,0.18749999999999997,0.7499999999999999,0.0625
0.71875,0.16237976320958225,0.18749999999999997,0.625,0.18750000000000003
0.46875,0.8118988160479113,0.06249999999999996,0.0001,0.9375000000000001
0.59375,0.7036456405748563,0.0001,0.18750000000000003,0.8125
0.46875,0.7036456405748563,0.125,0.06250000000000001,0.8125
0.34375,0.5953924651018015,0.3125,0.0001,0.6875
0.40625,0.4871392896287467,0.3125,0.125,0.5624999999999999
0.71875,0.4871392896287467,0.0001,0.4375,0.5624999999999999
0.625,0.5412658773652741,0.06250000000000001,0.3125,0.625
0.40625,0.5953924651018015,0.25,0.062499999999999986,0.6875
0.53125,0.4871392896287467,0.18750000000000003,0.25,0.5624999999999999
0.5625,0.649519052838329,0.062499999999999965,0.18749999999999994,0.7500000000000001
0.5,0.5412658773652741,0.18750000000000003,0.18750000000000003,0.625
0.53125,0.05412658773652741,0.43749999999999994,0.5,0.0625
0.40625,0.16237976320958225,0.5,0.3125,0.18750000000000003
0.53125,0.16237976320958225,0.37499999999999994,0.4375,0.18750000000000003
0.6875,0.4330127018922193,0.062499999999999986,0.4375,0.5
0.65625,0.27063293868263705,0.18750000000000003,0.5,0.3125
0.59375,0.3788861141556919,0.18749999999999997,0.37499999999999994,0.4375
0.28125,0.3788861141556919,0.5,0.062499999999999986,0.4375
0.4375,0.4330127018922193,0.3125,0.18750000000000003,0.5
0.375,0.3247595264191645,0.43749999999999994,0.18749999999999997,0.37500000000000006
0.59375,0.27063293868263705,0.25,0.4375,0.3125
0.46875,0.3788861141556919,0.3125,0.25,0.4375
0.4375,0.21650635094610965,0.4375,0.31250000000000006,0.25
0.5,0.3247595264191645,0.3125,0.3125,0.37500000000000006
0.125,0.10825317547305482,0.8125,0.0625,0.125
0.34375,0.05412658773652741,0.625,0.3125,0.0625
0.28125,0.27063293868263705,0.5625,0.12500000000000003,0.3125
0.21875,0.16237976320958225,0.6875,0.125,0.18750000000000003
0.84375,0.05412658773652741,0.12499999999999999,0.8125,0.0625
0.78125,0.27063293868263705,0.0625,0.625,0.3125
0.625,0.10825317547305482,0.31250000000000006,0.5625,0.125
0.75,0.10825317547305482,0.18750000000000003,0.6875,0.125
0.53125,0.7036456405748563,0.06250000000000001,0.125,0.8125
0.375,0.5412658773652741,0.3125,0.06250000000000001,0.625
0.59375,0.4871392896287467,0.125,0.3125,0.5624999999999999
0.53125,0.5953924651018015,0.12499999999999999,0.18750000000000003,0.6875
0.46875,0.16237976320958225,0.4375,0.37499999999999994,0.18750000000000003
0.625,0.3247595264191645,0.18749999999999997,0.43749999999999994,0.37500000000000006
0.40625,0.3788861141556919,0.37499999999999994,0.18749999999999997,0.4375
0.46875,0.27063293868263705,0.37499999999999994,0.31250000000000006,0.3125
0.03125,0.05412658773652741,0.9375,0.0001,0.0625
0.1875,0.0,0.8125,0.18750000000000003,0.0001
0.09375,0.05412658773652741,0.8749999999999999,0.06249999999999999,0.0625
0.4375,0.0,0.5625,0.4375,0.0001
0.40625,0.05412658773652741,0.5625,0.37499999999999994,0.0625
0.15625,0.27063293868263705,0.6875,0.0001,0.3125
0.25,0.3247595264191645,0.5625,0.062499999999999986,0.37500000000000006
0.21875,0.05412658773652741,0.7499999999999999,0.18749999999999997,0.0625
0.34375,0.16237976320958225,0.5625,0.25,0.18750000000000003
0.1875,0.21650635094610965,0.6875,0.06250000000000001,0.25
0.25,0.10825317547305482,0.6875,0.18750000000000003,0.125
0.9375,0.0,0.0625,0.9375,0.0001
0.90625,0.16237976320958225,0.0001,0.8125,0.18750000000000003
0.90625,0.05412658773652741,0.06249999999999999,0.8749999999999999,0.0625
0.78125,0.3788861141556919,0.0001,0.5625,0.43749999999999994
0.75,0.3247595264191645,0.062499999999999986,0.5625,0.37500000000000006
0.6875,0.0,0.3125,0.6875,0.0001
0.59375,0.05412658773652741,0.37499999999999994,0.5625,0.0625
0.84375,0.16237976320958225,0.062499999999999986,0.7499999999999999,0.18750000000000003
0.6875,0.21650635094610965,0.18750000000000003,0.5625,0.25
0.71875,0.05412658773652741,0.25,0.6874999999999999,0.0625
0.78125,0.16237976320958225,0.125,0.6875,0.18750000000000003
0.53125,0.8118988160479113,0.0001,0.06249999999999996,0.9375000000000001
0.40625,0.7036456405748563,0.18750000000000003,0.0001,0.8125
0.5,0.7577722283113838,0.062499999999999986,0.062499999999999986,0.875
0.28125,0.4871392896287467,0.4375,0.0001,0.5624999999999999
0.34375,0.4871392896287467,0.37500000000000006,0.0625,0.5624999999999999
0.65625,0.5953924651018015,0.0001,0.3125,0.6875
0.65625,0.4871392896287467,0.0625,0.37500000000000006,0.5624999999999999
0.4375,0.649519052838329,0.18749999999999994,0.062499999999999965,0.7500000000000001
0.46875,0.4871392896287467,0.25,0.18750000000000003,0.5624999999999999
0.59375,0.5953924651018015,0.062499999999999986,0.25,0.6875
0.46875,0.5953924651018015,0.18750000000000003,0.12499999999999999,0.6875
0.46875,0.05412658773652741,0.5,0.43749999999999994,0.0625
0.59375,0.16237976320958225,0.3125,0.5,0.18750000000000003
0.5,0.10825317547305482,0.4375,0.4375,0.125
0.71875,0.3788861141556919,0.062499999999999986,0.5,0.4375
0.5625,0.4330127018922193,0.18750000000000003,0.3125,0.5
0.65625,0.3788861141556919,0.12499999999999999,0.43749999999999994,0.4375
0.3125,0.4330127018922193,0.4375,0.062499999999999986,0.5
0.34375,0.27063293868263705,0.5,0.18750000000000003,0.3125
0.34375,0.3788861141556919,0.43749999999999994,0.12499999999999999,0.4375
0.5625,0.21650635094610965,0.31250000000000006,0.4375,0.25
0.53125,0.3788861141556919,0.25,0.3125,0.4375
